id,name,rating,genre,year,director,star,company,runtime
694,The Shining,R,Drama,1980,Stanley Kubrick,Jack Nicholson,Warner Bros.,146.0
5689,The Blue Lagoon,R,Adventure,1980,Randal Kleiser,Brooke Shields,Columbia Pictures,104.0
1891,Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,Irvin Kershner,Mark Hamill,Lucasfilm,124.0
813,Airplane!,PG,Comedy,1980,Jim Abrahams,Robert Hays,Paramount Pictures,88.0
11977,Caddyshack,R,Comedy,1980,Harold Ramis,Chevy Chase,Orion Pictures,98.0
4488,Friday the 13th,R,Horror,1980,Sean S. Cunningham,Betsy Palmer,Paramount Pictures,95.0
525,The Blues Brothers,R,Action,1980,John Landis,John Belushi,Universal Pictures,133.0
1578,Raging Bull,R,Biography,1980,Martin Scorsese,Robert De Niro,Chartoff-Winkler Productions,129.0
8536,Superman II,PG,Action,1980,Richard Lester,Gene Hackman,Dovemead Films,127.0
14729,The Long Riders,R,Biography,1980,Walter Hill,David Carradine,United Artists,100.0
17169,Any Which Way You Can,PG,Action,1980,Buddy Van Horn,Clint Eastwood,The Malpaso Company,116.0
8393,The Gods Must Be Crazy,PG,Adventure,1980,Jamie Uys,N!xau,C.A.T. Films,109.0
11335,Popeye,PG,Adventure,1980,Robert Altman,Robin Williams,Paramount Pictures,114.0
16619,Ordinary People,R,Drama,1980,Robert Redford,Donald Sutherland,Paramount Pictures,124.0
11033,Dressed to Kill,R,Crime,1980,Brian De Palma,Michael Caine,Filmways Pictures,104.0
16633,Somewhere in Time,PG,Drama,1980,Jeannot Szwarc,Christopher Reeve,Rastar Pictures,103.0
3537,Fame,R,Drama,1980,Alan Parker,Eddie Barth,Metro-Goldwyn-Mayer (MGM),134.0
19494,9 to 5,PG,Comedy,1980,Colin Higgins,Jane Fonda,IPC Films,109.0
790,The Fog,R,Horror,1980,John Carpenter,Adrienne Barbeau,AVCO Embassy Pictures,89.0
21629,Stir Crazy,R,Comedy,1980,Sidney Poitier,Gene Wilder,Columbia Pictures,111.0
27958,Cruising,R,Crime,1980,William Friedkin,Al Pacino,Lorimar Film Entertainment,102.0
10935,Heaven's Gate,R,Adventure,1980,Michael Cimino,Kris Kristofferson,Partisan Productions,219.0
8738,The Final Countdown,PG,Action,1980,Don Taylor,Kirk Douglas,Bryna Productions,103.0
15668,Xanadu,PG,Fantasy,1980,Robert Greenwald,Olivia Newton-John,Universal Pictures,96.0
17496,Urban Cowboy,PG,Drama,1980,James Bridges,John Travolta,Paramount Pictures,132.0
11542,Altered States,R,Horror,1980,Ken Russell,William Hurt,Warner Bros.,102.0
27458,Little Darlings,R,Comedy,1980,Ron Maxwell,Tatum O'Neal,Stephen Friedman/Kings Road Productions,96.0
24575,Raise the Titanic,PG,Action,1980,Jerry Jameson,Jason Robards,ITC Films,115.0
1623,Brubaker,R,Crime,1980,Stuart Rosenberg,Robert Redford,Twentieth Century Fox,131.0
2768,American Gigolo,R,Crime,1980,Paul Schrader,Richard Gere,Paramount Pictures,117.0
21873,My Bodyguard,PG,Comedy,1980,Tony Bill,Chris Makepeace,Twentieth Century Fox,102.0
36599,Prom Night,R,Horror,1980,Paul Lynch,Leslie Nielsen,Guardian Trust Company,92.0
12705,Smokey and the Bandit II,PG,Action,1980,Hal Needham,Burt Reynolds,Universal Pictures,100.0
28124,Seems Like Old Times,PG,Comedy,1980,Jay Sandrich,Goldie Hawn,Rastar Films,102.0
10765,Private Benjamin,R,Comedy,1980,Howard Zieff,Goldie Hawn,Warner Bros.,109.0
21879,The Hollywood Knights,R,Comedy,1980,Floyd Mutrux,Tony Danza,PolyGram Filmed Entertainment,91.0
30924,Motel Hell,R,Comedy,1980,Kevin Connor,Rory Calhoun,Camp Hill,101.0
