id,rating,genre,year,director,star,company,runtime
203835,PG-13,Horror,2017,Franck Khalfoun,Jennifer Jason Leigh,Dimension Films,87.0
422114,PG,Comedy,2017,Dallas Jenkins,Brett Dalton,Blumhouse Productions,91.0
292280,PG-13,Drama,2017,Stacy Title,Douglas Smith,Huayi Brothers Media,96.0
397567,Not Rated,Action,2017,Yong-hwa Kim,Ha Jung-woo,Dexter Studios,139.0
447332,PG-13,Drama,2018,John Krasinski,Emily Blunt,Paramount Pictures,90.0
299536,PG-13,Action,2018,Anthony Russo,Robert Downey Jr.,Marvel Studios,149.0
383498,R,Action,2018,David Leitch,Ryan Reynolds,Twentieth Century Fox,119.0
424694,PG-13,Biography,2018,Bryan Singer,Rami Malek,Twentieth Century Fox,134.0
284054,PG-13,Action,2018,Ryan Coogler,Chadwick Boseman,Marvel Studios,134.0
493922,R,Drama,2018,Ari Aster,Toni Collette,PalmStar Media,127.0
484247,R,Comedy,2018,Paul Feig,Anna Kendrick,BRON Studios,117.0
297802,PG-13,Action,2018,James Wan,Jason Momoa,Warner Bros.,143.0
333339,PG-13,Action,2018,Steven Spielberg,Tye Sheridan,Warner Bros.,140.0
324857,PG,Animation,2018,Bob Persichetti,Shameik Moore,Sony Pictures Entertainment (SPE),117.0
353081,PG-13,Action,2018,Christopher McQuarrie,Tom Cruise,Paramount Pictures,147.0
30789,R,Horror,1981,Piers Haggard,Klaus Kinski,Morison Film Group,92.0
490132,PG-13,Biography,2018,Peter Farrelly,Viggo Mortensen,Participant,130.0
455207,PG-13,Comedy,2018,Jon M. Chu,Constance Wu,Warner Bros.,120.0
363088,PG-13,Action,2018,Peyton Reed,Paul Rudd,Marvel Studios,118.0
487558,R,Biography,2018,Spike Lee,John David Washington,Focus Features,135.0
346910,R,Action,2018,Shane Black,Boyd Holbrook,Twentieth Century Fox,107.0
438808,R,Crime,2018,Yann Demange,Matthew McConaughey,LBI Productions,111.0
348350,PG-13,Action,2018,Ron Howard,Alden Ehrenreich,Lucasfilm,135.0
419478,PG-13,Drama,2018,Scott Speer,Bella Thorne,Boies / Schiller Film Group,91.0
396461,R,Crime,2018,David Robert Mitchell,Andrew Garfield,Vendian Entertainment,139.0
449443,R,Action,2018,Christian Gudegast,Gerard Butler,STX Films,140.0
300668,R,Adventure,2018,Alex Garland,Natalie Portman,Paramount Pictures,115.0
401981,R,Action,2018,Francis Lawrence,Jennifer Lawrence,Chernin Entertainment,140.0
332562,R,Drama,2018,Bradley Cooper,Lady Gaga,Warner Bros. Pictures,136.0
458423,PG-13,Comedy,2018,Ol Parker,Lily James,Universal Pictures,114.0
395990,R,Action,2018,Eli Roth,Bruce Willis,Cave 76,107.0
491418,PG-13,Comedy,2018,Sean Anders,Mark Wahlberg,Closest to the Hole Productions,118.0
351286,PG-13,Action,2018,J.A. Bayona,Chris Pratt,Universal Pictures,128.0
489925,R,Comedy,2018,Bo Burnham,Elsie Fisher,A24,93.0
402900,PG-13,Action,2018,Gary Ross,Sandra Bullock,Warner Bros.,110.0
361292,R,Fantasy,2018,Luca Guadagnino,Chloë Grace Moretz,Frenesy Film Company,152.0
375262,R,Biography,2018,Yorgos Lanthimos,Olivia Colman,Fox Searchlight Pictures,119.0
345940,PG-13,Action,2018,Jon Turteltaub,Jason Statham,Di Bonaventura Pictures,113.0
460885,Not Rated,Horror,2018,Panos Cosmatos,Nicolas Cage,SpectreVision,121.0
400535,R,Action,2018,Stefano Sollima,Benicio Del Toro,Columbia Pictures,122.0
337167,R,Drama,2018,James Foley,Dakota Johnson,Perfect World Pictures,105.0
2082,R,Horror,2007,Rob Zombie,Scout Taylor-Compton,Dimension Films,109.0
260513,PG,Animation,2018,Brad Bird,Craig T. Nelson,Walt Disney Pictures,118.0
442249,R,Action,2018,Gerard McMurray,Y'lan Noel,Blumhouse Productions,97.0
398173,R,Crime,2018,Lars von Trier,Matt Dillon,Zentropa Entertainments,152.0
428836,PG-13,Drama,2018,Claire McCarthy,Daisy Ridley,Covert Media,106.0
439079,R,Horror,2018,Corin Hardy,Demián Bichir,Atomic Monster,96.0
471859,R,Biography,2018,Mary Harron,Hannah Murray,Epic Level Entertainment,110.0
345887,R,Action,2018,Antoine Fuqua,Denzel Washington,Columbia Pictures,121.0
507076,R,Drama,2018,Gaspar Noé,Sofia Boutella,Rectangle Productions,97.0
399035,PG-13,Action,2018,Jaume Collet-Serra,Liam Neeson,StudioCanal,104.0
445571,R,Action,2018,John Francis Daley,Jason Bateman,Access Entertainment,100.0
494974,R,Biography,2018,Trevor Nunn,Judi Dench,Trademark Films,101.0
455980,R,Action,2018,Jeff Tomsic,Jeremy Renner,Broken Road Productions,100.0
470044,PG-13,Crime,2018,George Tillman Jr.,Amandla Stenberg,Fox 2000 Pictures,133.0
446021,R,Crime,2018,Drew Goddard,Jeff Bridges,Goddard Textiles,141.0
399174,PG-13,Animation,2018,Wes Anderson,Bryan Cranston,Indian Paintbrush,101.0
338952,PG-13,Adventure,2018,David Yates,Eddie Redmayne,Heyday Films,134.0
399402,R,Action,2018,Donovan Marsh,Gerard Butler,Hunter Killer Productions,121.0
504172,R,Crime,2018,Clint Eastwood,Clint Eastwood,Warner Bros.,116.0
544431,Unrated,Crime,2018,Duncan Skiles,Dylan McDermott,End Cue,109.0
20662,PG-13,Action,2010,Ridley Scott,Russell Crowe,Universal Pictures,140.0
451915,R,Biography,2018,Felix van Groeningen,Steve Carell,Amazon Studios,120.0
517814,R,Drama,2018,Nadine Labaki,Zain Al Rafeea,Mooz Films,126.0
429300,PG-13,Action,2018,Baltasar Kormákur,Shailene Woodley,Huayi Brothers,96.0
449176,PG-13,Comedy,2018,Greg Berlanti,Nick Robinson,Fox 2000 Pictures,110.0
400650,PG,Comedy,2018,Rob Marshall,Emily Blunt,Lucamar Productions,130.0
443463,PG,Adventure,2018,Debra Granik,Thomasin McKenzie,BRON Studios,109.0
424783,PG-13,Action,2018,Travis Knight,Hailee Steinfeld,Hasbro,114.0
429197,R,Biography,2018,Adam McKay,Christian Bale,Annapurna Pictures,132.0
400155,PG,Animation,2018,Genndy Tartakovsky,Adam Sandler,Sony Pictures Animation,97.0
347375,R,Action,2018,Peter Berg,Mark Wahlberg,STX Entertainment,94.0
381719,PG,Animation,2018,Will Gluck,James Corden,Columbia Pictures,95.0
429351,R,Action,2018,Nicolai Fuglsig,Chris Hemsworth,Alcon Entertainment,130.0
454992,R,Action,2018,Susanna Fogel,Justin Theroux,BRON Studios,117.0
500664,R,Action,2018,Leigh Whannell,Logan Marshall-Green,Goalpost Pictures,100.0
457136,R,Biography,2018,Josie Rourke,Saoirse Ronan,Focus Features,124.0
404368,PG,Animation,2018,Phil Johnston,John C. Reilly,Walt Disney Animation Studios,112.0
438799,R,Action,2018,Julius Avery,Jovan Adepo,Bad Robot,110.0
